FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
35031,71888,12146,433,53553,506,38,2988,2224
35033,4830,3672,2,118,0,0,959,79
35035,64176,50689,2487,4413,908,53,3635,1991
35037,8956,7713,97,216,47,8,671,204
35039,40201,28827,166,5899,177,7,4546,579
35041,19840,15281,470,267,193,0,3372,257
35043,131302,95072,3879,16678,1750,100,10020,3803
35045,128600,69170,860,47668,480,153,6505,3764
35047,29225,22283,405,550,81,37,5087,782
35049,144209,123374,1265,4119,1696,22,10129,3604
35051,11956,10893,79,181,0,0,572,231
35053,17843,14155,204,1988,175,25,1019,277
35055,32775,18757,158,1945,254,4,10225,1432
35057,16285,14584,82,254,71,0,962,332
35059,4460,3305,206,94,6,0,671,178
35061,76172,49592,991,2714,525,26,20093,2231
36001,304511,237873,38343,593,14654,95,5366,7587
36003,48837,46960,627,155,529,19,160,387
36005,1386364,312055,481739,7196,49489,308,488156,47421
36007,199928,176883,9327,658,7008,30,1709,4313
36009,80166,74589,1111,2206,597,21,289,1353
36011,79996,74104,3478,261,474,3,432,1244
36013,134599,125574,3161,699,894,119,1868,2284
36015,88779,79138,5446,231,984,0,282,2698
36017,50490,48781,284,32,150,0,240,1003
36019,82054,75715,3435,283,853,54,634,1080
36021,62881,57054,2823,103,1011,0,410,1480
36023,49453,46737,768,151,498,42,443,814
36025,47851,45527,763,112,407,3,460,579
36027,297291,235943,29134,684,11167,51,13229,7083
36029,919542,736093,122004,4793,24746,143,14411,17352
36031,39309,36708,1185,53,167,11,653,532
36033,51698,43360,3333,2798,552,30,689,936
36035,55358,52865,868,105,403,0,330,787
36037,59992,55716,1603,558,339,11,593,1172
36039,49122,44467,2919,60,411,0,391,874
36041,4835,4692,39,0,10,0,13,81
36043,64475,62338,610,161,332,51,333,650
36045,117011,102535,5629,436,1737,351,2201,4122
36047,2512740,1119881,859622,8247,266557,1372,209788,47273
36049,27062,26434,248,56,59,0,64,201
36051,65215,61181,1582,160,749,19,430,1094
36053,72977,69358,1353,501,543,3,229,990
36055,744746,570868,112370,1998,24542,238,17788,16942
36057,50025,45715,847,141,362,18,1906,1036
36059,1338712,973573,148771,2310,103765,81,81435,28777
36061,1596735,909145,247743,5012,178673,804,192325,63033
36063,215869,191753,15345,1985,2268,99,830,3589
36065,234336,203928,13212,459,7049,89,3864,5735
36067,466179,380600,50499,3557,14702,50,4564,12207
36069,107728,101122,2416,211,1244,0,674,2061
36071,372951,288487,37428,1175,9453,20,25785,10603
36073,42995,38500,2640,268,230,2,571,784
36075,122055,117371,1071,355,756,5,825,1672
36077,62147,58869,1191,57,683,0,394,953
36079,99702,89418,2064,270,2006,0,3826,2118
36081,2235008,950264,421540,9475,522638,1356,260286,69449
36083,159464,140475,9074,210,3449,39,1351,4866
36085,468374,354836,48635,813,36292,26,18866,8906
36087,312011,226906,38105,670,20118,74,21403,4735
36089,112060,104807,3036,561,1141,82,834,1599
36091,219832,207694,3197,320,3841,48,793,3939
36093,154466,124632,14996,604,5678,123,3709,4724
36095,32617,31271,443,98,224,0,222,359
36097,18472,17927,212,31,40,0,37,225
36099,35306,32695,1686,144,201,0,82,498
36101,98992,94265,1754,238,1337,0,417,981
36103,1492360,1227708,110478,3486,52009,297,71037,27345
36105,77340,62970,6668,337,1197,0,3299,2869
36107,51067,49443,347,143,302,0,160,672
36109,101570,84172,3969,310,9391,19,1034,2675
36111,182516,160024,10438,424,3131,24,2872,5603
36113,65700,63459,648,292,518,65,243,475
36115,63108,59603,1939,75,307,35,393,756
36117,93476,87495,3467,284,587,0,576,1067
36119,950227,642623,136936,1741,51797,144,90239,26747
36121,42092,38432,2440,121,183,0,516,400
36123,25351,24657,216,33,105,3,61,276
37001,151170,105718,27279,374,1910,154,11723,4012
37003,37014,32871,2021,87,314,9,1164,548
37005,11069,10276,128,36,32,10,425,162
37007,26699,12687,12968,174,301,0,318,251
37009,27099,25561,109,136,69,0,867,357
37011,17815,15503,705,135,133,57,321,961
37013,47542,32475,12440,45,88,1,1869,624
37015,21035,7456,13247,61,112,4,74,81
37017,34922,20176,11918,788,46,0,1055,939
37019,107925,91265,12134,311,482,97,1208,2428
37021,239000,211727,15326,951,2484,194,2627,5691
37023,90821,77635,6068,247,3023,28,2072,1748
37025,178396,139602,27464,724,3624,14,3293,3675
37027,82493,74276,3928,289,477,74,2295,1154
37029,9965,8191,1305,133,186,0,78,72
37031,66415,58957,4341,364,624,5,985,1139
37033,23615,14783,7926,132,21,0,296,457
37035,154201,127427,13112,571,5305,40,4700,3046
37037,63896,50154,8586,215,809,10,3209,913
37039,27304,25427,267,507,155,4,353,591
37041,14825,9323,5064,124,109,0,172,33
37043,10575,10169,82,38,21,0,186,79
37045,97890,74895,20476,188,860,0,480,991
37047,57612,35334,17588,1786,73,12,1895,924
37049,102904,72226,22465,395,2120,192,2546,2960
37051,319329,165619,114520,3282,7323,1007,9216,18362
37053,23677,21443,1485,48,100,0,81,520
37055,34019,31611,1416,187,29,0,539,237
37057,162628,139671,14912,738,2187,22,3242,1856
37059,41183,36119,2811,146,169,33,1552,353
37061,58510,33479,14888,56,196,0,9014,877
37063,269283,131635,100777,1086,12003,94,16262,7426
37065,56253,21988,32199,261,66,13,1116,610
37067,351368,229686,92066,767,6641,31,16315,5862
37069,60470,40547,15602,397,287,7,2341,1289
37071,206291,160843,31084,965,2665,21,7395,3318
37073,12069,7666,4129,21,39,0,87,127
37075,8766,7864,48,505,84,14,83,168
37077,59666,36140,19455,258,380,14,2372,1047
37079,21386,10624,7906,131,55,0,1988,682
37081,489576,282773,160319,2486,20137,88,14270,9503
37083,54693,21959,28074,1711,340,8,539,2062
37085,115559,80169,23909,1023,1098,26,4782,4552
37087,58915,56326,554,317,223,8,531,956
37089,106577,96600,3595,542,1139,0,2751,1950
37091,24525,8814,14681,346,157,1,143,383
37093,47368,22299,16220,4097,601,108,1824,2219
37095,5810,3453,2009,33,7,0,303,5
37097,159614,131158,19306,548,2978,15,3115,2494
37099,39985,33714,814,3681,276,52,664,784
37101,169122,132547,25445,520,834,0,5817,3959
37103,10144,6321,3261,40,12,67,242,201
37105,57876,38505,11469,304,622,23,5853,1100
37107,59372,31686,24123,123,254,7,2134,1045
37109,78052,70721,4263,204,443,0,1157,1264
37111,44926,41380,1638,132,417,11,655,693
37113,33815,31663,308,102,241,12,1223,266
37115,20727,19919,269,67,95,0,169,208
37117,24298,12910,10497,84,44,5,443,315
37119,926873,537507,282309,3670,43659,672,36505,22551
37121,15539,15122,127,38,41,10,111,90
37123,27741,21052,5242,135,446,0,646,220
37125,88314,72722,11639,587,777,7,1088,1494
37127,95545,53751,35412,497,775,0,2893,2217
37129,203276,163535,29755,754,2742,89,2804,3597
37131,21959,8775,12556,24,16,16,54,518
37133,176461,131513,29023,1180,3071,389,5408,5877
37135,133958,102023,15699,425,9089,19,3226,3477
37137,13145,10114,2537,66,42,0,42,344
37139,40551,23357,15656,27,470,7,558,476
37141,52447,40013,9637,202,237,8,1694,656
37143,13414,9589,3471,0,2,0,68,284
37145,39322,27065,10801,269,135,0,716,336
37147,167951,100209,56980,432,2638,0,3859,3833
37149,20386,18768,1038,11,76,0,345,148
37151,141568,124563,7858,519,1403,4,5039,2182
37153,46608,28978,14235,1263,265,0,1141,726
37155,133920,41535,32256,50448,1072,86,5150,3373
37157,93264,70534,17471,273,423,46,2699,1818
37159,138189,106969,22624,711,1375,44,4302,2164
37161,67446,58319,6782,262,355,0,833,895
37163,63408,36408,16963,1061,258,46,7198,1474
37165,36266,17114,14029,3567,330,5,233,988
37167,60489,51333,6548,148,1184,5,337,934
37169,47224,44254,2000,289,111,0,198,372
37171,73551,67694,2871,338,246,28,1221,1153
37173,13995,9447,362,3269,37,0,263,617
37175,32825,30233,1210,144,158,0,407,673
37177,4367,2430,1579,37,90,10,85,136
37179,201617,164971,23715,882,3206,70,5571,3202
37181,45183,19115,22619,129,69,0,2740,511
37183,905573,619850,188710,2766,48689,177,27427,17954
37185,20860,8011,10764,782,81,0,388,834
37187,13085,6067,6592,46,11,0,296,73
37189,51103,48237,640,94,482,2,447,1201
37191,122419,70278,38867,194,1190,39,8507,3344
37193,69265,62652,2991,162,332,0,2303,825
37195,81020,41892,31039,288,564,48,5434,1755
37197,38254,34590,1314,85,21,0,1790,454
37199,17814,17312,172,78,20,5,61,166
38001,2325,2269,1,31,1,0,0,23
38003,11047,10622,58,73,156,0,68,70
38005,6677,2928,6,3604,23,3,16,97
38007,838,815,0,0,23,0,0,0
38009,6449,6120,32,164,1,5,8,119
38011,3154,3066,0,15,0,0,53,20
38013,2011,1958,25,0,11,0,9,8
38015,81941,76391,463,3003,375,49,110,1550
38017,150240,137444,3575,1968,3502,66,966,2719
38019,3974,3858,0,44,20,0,0,52
38021,5280,5098,60,30,0,0,35,57
38023,2095,2056,0,33,6,0,0,0
38025,3648,3110,10,322,51,4,31,120
38027,2393,2300,5,50,0,0,27,11
38029,3544,3521,0,9,0,0,5,9
38031,3368,3325,1,12,8,0,0,22
38033,1646,1606,1,27,0,0,2,10
38035,66890,60580,1497,1893,1279,13,325,1303
38037,2380,2253,11,47,32,0,0,37
38039,2393,2354,0,22,8,0,0,9
38041,2502,2444,9,26,0,0,3,20
38043,2426,2369,0,6,0,0,31,20
38045,4141,4106,9,7,0,0,8,11
38047,1972,1970,2,0,0,0,0,0
38049,5478,5340,3,32,22,4,3,74
38051,2813,2748,5,8,10,0,0,42
38053,6692,5127,12,1366,38,0,42,107
38055,9020,8282,2,665,13,0,0,58
38057,8400,8070,73,171,20,0,0,66
38059,27439,25731,131,1021,48,0,143,365
38061,7830,5145,32,2259,3,0,64,327
38063,3115,3036,40,25,0,0,0,14
38065,1875,1805,0,27,1,0,11,31
38067,7383,7060,6,189,2,0,44,82
38069,4378,4171,4,164,9,0,3,27
38071,11450,10063,90,944,81,0,35,237
38073,5498,5379,12,51,6,0,5,45
38075,2468,2393,0,25,36,0,0,14
38077,16295,15499,63,263,80,44,35,311
38079,14015,2887,58,10829,0,13,25,203
38081,3876,3768,28,20,18,0,30,12
38083,1282,1236,5,27,0,3,0,11
38085,4193,529,11,3463,13,3,11,163
38087,768,768,0,0,0,0,0,0
38089,24682,23405,146,208,290,70,236,327
38091,1976,1961,0,0,0,0,8,7
38093,20965,20031,91,291,56,0,157,339
38095,2264,2197,6,23,0,0,0,38
38097,8105,7827,22,91,4,0,58,103
38099,11131,10337,18,181,12,0,479,104
38101,62013,55979,1609,1265,543,80,569,1968
38103,4228,4147,0,10,0,5,0,66
38105,23287,21315,54,1156,68,13,282,399
39001,28524,27875,89,70,6,0,16,468
39003,106079,88630,12699,269,725,0,853,2903
39005,53203,51720,407,105,303,9,137,522
39007,101262,94328,3683,172,328,0,635,2116
39009,64592,59315,1888,67,1914,0,195,1213
39011,45934,44926,142,70,156,28,96,516
39013,70182,65828,2467,93,255,5,175,1359
39015,44666,43541,405,40,45,0,64,571
39017,368029,318829,27228,728,9273,148,4664,7159
39019,28828,28252,204,22,38,0,16,296
39021,39982,37897,842,60,128,29,131,895
39023,138278,119714,11841,281,843,9,1727,3863
39025,197543,189441,2803,491,1995,8,734,2071
39027,42161,39993,858,53,200,0,177,880
39029,107598,102885,2492,63,382,11,466,1299
39031,36880,35811,429,56,94,0,83,407
39033,43623,42313,337,24,169,0,75,705
39035,1278024,824432,378771,2604,33783,234,12906,25294
39037,52776,51686,258,84,141,0,90,517
39039,38975,36195,647,163,114,9,1107,740
39041,174454,156541,6366,249,7322,0,1007,2969
39043,76952,67307,6433,317,407,44,426,2018
39045,146138,131999,8090,163,1782,0,802,3302
39047,28931,27380,627,112,154,9,108,541
39049,1167484,818220,246939,2459,46047,423,17965,35431
39051,42635,40799,216,82,130,0,751,657
39053,30877,29250,712,7,157,0,125,626
39055,93485,90694,1044,64,530,0,80,1073
39057,161936,140174,11824,368,4815,12,673,4070
39059,40056,38468,761,90,99,1,41,596
39061,801350,555920,205756,1464,16064,116,4876,17154
39063,75043,70460,1197,157,1272,48,985,924
39065,31986,30877,241,86,186,19,60,517
39067,15818,15170,419,16,9,0,29,175
39069,28246,27006,128,37,126,31,527,391
39071,43454,41833,432,52,86,0,0,1051
39073,29372,28604,212,9,89,0,57,401
39075,42501,41955,169,19,25,27,114,192
39077,59628,56273,614,237,195,0,1273,1036
39079,33134,32124,211,65,58,0,79,597
39081,69343,63625,3726,148,238,19,101,1486
39083,60791,58833,446,38,502,7,72,893
39085,229873,214594,7617,204,2917,13,1322,3206
39087,62441,59804,1506,97,26,0,127,881
39089,166135,155098,5535,221,1364,52,407,3458
39091,45816,43682,658,106,263,0,136,971
39093,301108,255556,25238,994,2904,80,6678,9658
39095,441198,328791,84171,1347,7120,163,6701,12905
39097,43213,39247,2751,148,304,12,152,599
39099,238352,191858,37898,388,1716,40,2204,4248
39101,66514,60324,3446,318,382,14,374,1656
39103,172334,165340,2117,227,1587,12,834,2217
39105,23664,23099,316,34,34,0,0,181
39107,40866,39995,112,44,238,78,81,318
39109,102657,97118,2324,141,1239,0,323,1512
39111,14679,14434,36,32,0,0,0,177
39113,535626,396579,112269,555,9906,26,4022,12269
39115,15042,14058,458,42,65,0,36,383
39117,34895,34017,217,12,93,0,87,469
39119,85996,80100,2877,159,269,0,196,2395
39121,14643,13393,1052,26,0,0,16,156
39123,41445,39777,475,41,167,0,389,596
39125,19522,18728,181,86,13,7,144,363
39127,36086,35336,86,20,68,0,43,533
39129,55795,52498,1875,145,213,0,117,947
39131,28652,27741,185,105,115,88,0,418
39133,161178,148536,6297,173,2464,0,492,3216
39135,42240,41287,166,71,231,2,7,476
39137,34445,33307,86,23,37,0,586,406
39139,124286,108498,11078,352,711,0,606,3041
39141,77741,70451,3545,141,255,7,344,2998
39143,60842,55865,2082,133,179,23,1033,1527
39145,79122,74648,2087,174,269,0,303,1641
39147,56630,53589,1500,121,278,0,457,685
39149,49359,46963,834,84,364,37,42,1035
39151,375593,333935,27292,782,2880,30,934,9740
39153,541788,437759,77666,808,11785,75,1964,11731
39155,209942,187213,17067,294,979,8,323,4058
39157,92532,90001,868,178,261,0,342,882
39159,52153,48546,1093,204,1410,0,104,796
39161,28808,27911,325,33,88,0,194,257
39163,13397,13060,8,0,9,24,11,285
39165,213146,193666,7135,219,8156,18,763,3189
39167,61751,59611,476,30,431,12,102,1089
39169,114644,109905,1753,179,915,0,338,1554
39171,37779,36407,392,76,117,86,225,476
39173,126254,116210,2970,126,2153,7,2104,2684
39175,22626,22074,65,0,235,4,135,113
40001,22470,10287,67,8077,142,0,179,3718
40003,5631,4789,129,113,1,0,136,463
40005,14133,10572,595,1371,64,4,73,1454
40007,5587,4908,40,41,8,0,456,134
40009,22519,19523,785,441,82,16,356,1316
40011,10651,8322,605,526,24,7,656,511
40013,42494,31831,660,3085,227,5,1394,5292
40015,29403,18413,831,6590,123,0,1139,2307
40017,116299,96902,2727,4686,3397,9,2825,5753
40019,47603,36560,3283,4813,448,67,296,2136
40021,47165,25088,674,13289,117,25,853,7119
40023,15172,9727,1513,1248,48,0,196,2440
40025,2451,2074,14,12,8,0,312,31
40027,256550,204939,10462,10540,9300,260,4313,16736
40029,5906,4299,20,318,10,0,43,1216
40031,123101,80135,20834,6549,2658,694,2506,9725
40033,6171,5013,131,536,31,0,136,324
40035,14922,10007,468,1869,96,18,49,2415
40037,69934,55793,1556,5104,319,98,669,6395
40039,27583,23011,890,1390,330,16,563,1383
40041,41332,27896,150,9707,531,26,291,2731
40043,4775,4254,13,157,7,2,14,328
40045,4095,3908,12,44,7,0,10,114
40047,60272,50923,1689,1391,547,1021,2658,2043
40049,27471,22819,701,2163,73,1,285,1429
40051,52451,44931,1176,2594,182,46,959,2563
40053,4536,4200,26,43,17,0,36,214
40055,6185,5038,449,199,2,0,322,175
40057,2888,1983,243,57,0,0,443,162
40059,3672,3528,11,8,5,0,70,50
40061,12761,9487,92,1654,84,2,193,1249
40063,13762,9367,713,2262,0,0,232,1188
40065,26275,20407,1899,262,345,61,1464,1837
40067,6445,5460,35,419,0,0,207,324
40069,10938,7957,154,655,74,0,177,1921
40071,46288,36991,833,4212,314,41,1228,2669
40073,14965,12871,94,644,11,5,1082,258
40075,9421,7598,449,588,27,0,411,348
40077,11099,7800,98,1459,45,0,87,1610
40079,50056,38116,1132,4029,310,25,1575,4869
40081,34106,29405,649,2011,23,0,168,1850
40083,41982,34385,3692,1433,263,36,490,1683
40085,9404,7965,241,719,46,0,49,384
40087,34471,29385,251,1711,187,154,467,2316
40089,33144,22607,2880,5697,28,0,153,1779
40091,20266,14249,702,3091,50,0,12,2162
40093,7563,6917,20,297,0,0,175,154
40095,15774,11760,259,798,28,0,850,2079
40097,41162,28087,117,3630,172,16,22,9118
40099,13460,10349,139,1170,94,0,324,1384
40101,70635,43806,7899,9459,446,9,665,8351
40103,11540,9718,220,772,56,0,102,672
40105,10627,7304,269,1931,15,64,121,923
40107,12203,7857,964,1840,30,0,54,1458
40109,721088,491985,108431,22069,22015,484,29506,46598
40111,39770,26264,3543,5335,54,11,155,4408
40113,47650,31368,5471,6807,106,40,376,3482
40115,31940,22323,229,5505,192,268,500,2923
40117,16573,13338,139,1527,32,7,28,1502
40119,77125,62788,2554,2747,2754,31,546,5705
40121,45570,33374,1536,4299,217,9,667,5468
40123,37438,27126,901,2935,134,0,66,6276
40125,69676,53560,1886,8172,379,68,612,4999
40127,11449,8624,107,1276,13,10,69,1350
40129,3678,3346,28,94,0,8,2,200
40131,87031,66225,692,11358,960,4,799,6993
40133,25394,17409,1259,4217,80,12,235,2182
40135,41945,28210,815,4659,241,0,230,7790
40137,44848,38460,993,2345,213,81,1032,1724
40139,20620,14152,205,186,673,0,4785,619
40141,7981,6327,623,182,11,4,346,488
40143,602692,436770,62672,28402,14250,485,18157,41956
40145,73067,55906,2525,6331,976,0,962,6367
40147,51112,40408,1223,4096,706,8,562,4109
40149,11616,10562,101,249,9,3,306,386
40151,8741,7835,267,166,32,7,160,274
40153,20232,18416,238,399,144,3,453,579
41001,16092,15378,32,240,69,7,38,328
41003,85501,75397,860,616,4738,303,1003,2584
41005,377206,339189,3122,2485,13634,837,4654,13285
41007,37068,33958,204,143,470,51,810,1432
41009,49317,45912,111,701,491,52,537,1513
41011,62937,57000,322,1659,762,27,611,2556
41013,21102,19849,46,310,53,8,344,492
41015,22344,20658,27,299,77,4,261,1018
41017,158884,148163,485,1222,1810,250,3233,3721
41019,107391,100130,352,1912,885,185,601,3326
41021,1904,1771,15,15,0,5,65,33
41023,7366,7032,16,35,9,2,23,249
41025,7359,6845,16,226,57,6,15,194
41027,22207,19983,114,274,316,50,996,474
41029,203613,187279,1173,1716,2036,506,2846,8057
41031,21746,15511,159,3651,126,109,1644,546
41033,82636,77667,296,1298,521,137,492,2225
41035,66350,58405,454,2855,790,89,1045,2712
41037,7886,7114,40,132,39,11,272,278
41039,351794,314114,3351,4173,8495,832,6542,14287
41041,45992,40666,129,1303,588,87,1362,1857
41043,116871,106970,557,2334,1082,233,2969,2726
41045,31057,25936,390,276,410,35,2554,1456
41047,315391,253676,3238,5189,5842,2044,33623,11779
41049,11146,9995,16,57,70,10,509,489
41051,737110,578509,42365,7433,48982,4557,25122,30142
41053,75448,66132,313,1291,1625,383,2529,3175
41055,1865,1764,2,25,1,0,18,55
41057,25254,23416,153,201,183,12,708,581
41059,75846,66632,547,1605,685,105,2851,3421
41061,25670,24041,96,94,241,215,208,775
41063,6938,6667,38,45,13,6,34,135
41065,25113,21386,119,1237,247,107,1626,391
41067,531818,409015,9334,6199,46982,2642,37345,20301
41069,1287,1235,0,8,1,0,14,29
41071,99119,85312,885,1378,1322,225,6580,3417
42001,101352,93884,1607,134,744,0,3384,1599
42003,1224772,998821,159897,1443,34487,394,4698,25032
42005,68942,67494,635,25,142,0,189,457
42007,170614,155603,10317,144,857,14,350,3329
42009,49680,48747,295,75,127,13,72,351
42011,411094,348705,19523,850,5436,124,27587,8869
42013,127133,122432,2242,113,907,0,185,1254
42015,62628,61089,344,62,398,2,150,583
42017,625485,562737,22785,540,24607,138,5546,9132
42019,183946,177829,2111,107,1954,8,373,1564
42021,143305,134809,5062,114,773,82,570,1895
42023,5058,4972,31,4,10,0,0,41
42025,65101,62472,872,177,335,0,346,899
42027,153758,137411,4735,397,8075,36,1092,2012
42029,499548,436742,30005,329,19198,110,4761,8403
42031,39991,38852,503,16,210,0,146,264
42033,81668,78262,1765,103,468,0,332,738
42035,39261,37942,591,58,164,9,66,431
42037,66984,64330,1143,82,647,0,203,579
42039,88492,84946,1551,121,363,15,136,1360
42041,235314,214006,7324,372,6571,58,1794,5189
42043,267891,197274,47186,408,8387,51,5950,8635
42045,558874,407100,110537,409,26802,85,4066,9875
42047,31981,31438,178,48,122,0,101,94
42049,280181,247864,19659,728,3198,17,2482,6233
42051,136914,127766,5837,204,512,18,216,2361
42053,7664,6095,1245,63,0,0,98,163
42055,149554,139798,5232,326,1401,0,1043,1754
42057,14829,14465,182,40,21,0,22,99
42059,38614,35586,2082,100,89,3,161,593
42061,45931,42616,2405,32,179,0,153,546
42063,88648,84033,2271,141,830,33,409,931
42065,45051,44293,145,60,86,1,62,404
42067,24664,24109,177,40,93,0,65,180
42069,214353,200321,5385,274,3516,75,1823,2959
42071,519913,467604,18411,847,10051,154,13064,9782
42073,90885,85239,3584,68,327,17,238,1412
42075,133578,119364,2544,131,1347,0,6898,3294
42077,350165,284775,22225,807,10465,51,23177,8665
42079,320555,294883,11509,490,3047,58,6932,3636
42081,116447,107893,5103,221,770,36,311,2113
42083,43451,41417,1044,109,217,0,229,435
42085,116474,106816,6397,115,821,23,358,1944
42087,46694,45674,315,31,137,0,30,507
42089,169346,133808,22000,233,3313,80,4521,5391
42091,799886,657641,69139,884,51172,207,5806,15037
42093,18243,17365,278,16,355,0,89,140
42095,297519,259544,14598,532,7459,42,8252,7092
42097,94441,90454,2227,171,341,10,462,776
42099,45791,44552,314,44,87,1,292,501
42101,1525811,631799,662657,4473,96995,1594,90949,37344
42103,57437,51583,2929,55,415,93,1002,1360
42105,17466,17133,83,24,53,2,22,149
42107,147935,140308,3997,72,870,0,1017,1671
42109,39620,38467,408,50,263,24,195,213
42111,77638,74769,1789,88,233,0,141,618
42113,6453,6138,126,91,17,19,35,27
42115,43171,42400,226,99,84,0,22,340
42117,42081,40955,357,67,187,0,46,469
42119,44944,39161,3275,106,536,55,946,865
42121,54865,53240,436,39,182,8,23,937
42123,41613,40795,199,69,174,3,66,307
42125,207916,196156,6681,94,1399,0,434,3152
42127,52299,49484,1537,117,282,11,254,614
42129,364877,347766,8447,331,2775,0,731,4827
42131,28221,27503,219,40,113,1,76,269
42133,434579,386289,23231,594,5430,46,9087,9902
44001,49796,47716,199,68,737,0,124,952
44003,166066,155004,2593,196,3905,0,1800,2568
44005,82503,74951,3046,100,1262,178,609,2357
44007,627414,463095,57061,3339,23660,172,60792,19295
44009,126692,118920,1812,1081,2299,0,966,1614
45001,25387,17759,7144,18,15,0,31,420
45003,160169,111591,39908,413,1086,20,4678,2473
45005,10399,2479,7668,3,0,0,228,21
45007,187228,151044,30021,238,1393,8,1449,3075
45009,15941,5734,10017,0,60,0,61,69
45011,22523,11888,10148,84,73,0,107,223
45013,162316,119255,31123,310,1754,11,6755,3108
45015,179773,121594,45337,1180,4322,131,3042,4167
45017,15134,8339,6432,18,3,0,76,266
45019,352548,231974,105458,1034,4303,150,4306,5323
45021,55351,42323,11146,235,308,0,559,780
45023,33028,19709,12532,196,76,5,45,465
45025,46462,30006,15175,123,188,0,147,823
45027,34746,16519,17388,58,0,0,402,379
45029,38665,22362,15440,392,21,37,262,151
45031,68500,38685,28262,128,238,0,381,806
45033,31733,15160,14899,738,5,0,475,456
45035,136836,94229,34468,928,1892,92,850,4377
45037,26763,15921,10162,64,46,0,304,266
45039,23804,9111,14372,0,21,0,108,192
45041,136714,76054,56292,167,1498,0,498,2205
45043,60285,38223,20450,49,222,0,1013,328
45045,452931,346539,81586,1064,9060,297,5946,8439
45047,69531,44043,21106,33,648,71,2466,1164
45049,20987,8937,11284,31,42,0,453,240
45051,270943,216017,36729,811,3171,133,9509,4573
45053,24792,10510,11182,4,107,0,2253,736
45055,61583,44193,15557,281,281,0,752,519
45057,76364,55773,18322,310,472,22,774,691
45059,66623,47630,16689,60,166,133,859,1086
45061,19160,6322,12344,6,29,0,300,159
45063,262424,212467,37717,813,3533,126,2414,5354
45065,10140,4953,4947,0,20,0,10,210
45067,33038,13540,18711,43,122,0,346,276
45069,28750,11905,14579,1039,85,23,259,860
45071,37432,23184,11036,11,145,0,2044,1012
45073,74038,65891,5569,136,343,0,757,1342
45075,92229,31830,57573,518,826,0,796,686
45077,119167,105724,7643,426,1917,35,1338,2084
45079,384596,182806,176294,571,8794,345,7275,8511
45081,19758,12700,5331,0,6,0,1524,197
45083,284540,208863,58556,685,5765,93,5693,4885
45085,107279,52527,49957,252,1363,18,1330,1832
45087,28804,19208,8886,33,39,0,66,572
45089,34361,10842,22814,45,39,0,269,352
45091,226576,172103,42450,1574,3138,41,2001,5269
46003,2726,2579,60,30,17,0,4,36
46005,17372,15908,86,158,709,39,252,220
46007,3432,978,24,2305,13,0,0,112
46009,7041,6344,54,447,21,0,74,101
46011,31973,29916,247,295,746,24,176,569
46013,36562,34240,286,1199,392,6,16,423
46015,5236,4647,0,480,0,0,7,102
46017,1950,339,9,1539,0,0,0,63
46019,10122,9651,47,105,45,0,28,246
46021,1419,1400,0,15,4,0,0,0
46023,9127,5934,18,2846,6,0,20,303
46025,3653,3499,30,25,20,0,32,47
46027,13966,12665,123,569,245,0,197,167
46029,27284,26054,85,764,118,0,117,146
46031,4046,1244,7,2707,8,0,9,71
46033,8219,7713,26,337,2,0,31,110
46035,19513,18554,77,411,62,0,20,389
46037,5673,5020,0,549,18,0,4,82
46039,4376,4315,28,15,0,0,4,14
46041,5358,1156,24,3978,0,0,15,185
46043,2992,2897,0,63,0,1,0,31
46045,4050,3974,0,33,13,0,3,27
46047,7028,6318,19,382,72,5,8,224
46049,2374,2346,0,22,0,0,0,6
46051,7324,7137,52,41,7,0,64,23
46053,4251,3823,6,314,10,0,0,98
46055,1852,1804,4,25,7,0,0,12
46057,5875,5730,15,9,0,0,67,54
46059,3394,3383,0,8,2,0,0,1
46061,3366,3305,0,32,5,10,0,14
46063,1367,1300,3,17,0,0,4,43
46065,17064,14478,105,1571,37,8,297,568
46067,7283,7136,2,93,3,0,0,49
46069,1437,1262,0,119,9,0,5,42
46071,3067,1564,0,1384,2,0,21,96
46073,2047,1997,0,29,4,0,17,0
46075,1084,1025,13,43,3,0,0,0
46077,5159,5049,14,17,27,0,19,33
46079,11364,10983,70,94,59,0,40,118
46081,24063,22578,69,919,181,0,109,207
46083,45055,43245,289,246,569,0,149,557
46085,3752,2174,0,1416,25,0,0,137
46087,5592,5483,5,31,15,0,14,44
46089,2485,2463,1,20,1,0,0,0
46091,4631,3950,2,355,0,0,66,258
46093,25456,23203,208,554,199,25,361,906
46095,2057,778,0,1186,0,0,0,93
46097,2365,2305,1,22,0,0,3,34
46099,170342,150083,6490,4419,2764,3,3415,3168
46101,6474,5251,0,875,58,4,48,238
46103,101240,84667,1039,8916,1147,27,672,4772
46105,2890,2814,0,35,0,0,5,36
46107,2327,2281,0,23,8,0,0,15
46109,10158,6194,57,3516,20,0,14,357
46111,2357,2318,0,10,7,0,4,18
46113,13683,486,18,13091,2,4,35,47
