FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
12043,12952,10183,1511,502,244,0,497,15
12045,15796,12293,2928,91,140,0,134,210
12047,14728,8993,5112,39,58,0,252,274
12049,27347,22546,2239,232,294,3,1714,319
12051,38669,25727,5188,666,280,0,6377,431
12053,172784,155885,9205,552,1935,67,2507,2633
12055,98734,83820,9190,542,1270,77,2181,1654
12057,1238365,908147,207092,6692,42249,995,38330,34860
12059,19971,18111,1077,175,105,78,25,400
12061,138203,120601,12313,185,1639,8,1457,2000
12063,49589,34192,12988,206,238,15,627,1323
12065,14564,8769,5376,30,12,10,191,176
12067,8668,6994,1334,0,33,0,307,0
12069,297995,249767,28631,986,5226,219,6673,6493
12071,624155,526198,50514,2496,9476,103,24665,10703
12073,276506,174433,83628,1070,8399,112,3017,5847
12075,40541,35253,3791,79,203,4,263,948
12077,8300,6300,1316,115,66,0,221,282
12079,19187,10866,7463,70,42,94,369,283
12081,324834,271678,28052,780,5591,159,13113,5461
12083,331987,270917,41173,1261,4544,129,8629,5334
12085,146497,128266,8288,895,1374,33,5600,2041
12086,2512219,1881017,477618,3843,40005,779,73851,35106
12087,73475,66362,4769,137,778,3,615,811
12089,73303,66088,4949,142,628,25,383,1088
12091,183400,148726,16290,1068,5886,322,3339,7769
12093,39779,33833,3393,286,158,0,1503,606
12095,1153795,752892,238585,3656,56129,1263,69884,31386
12097,272355,204701,31134,670,7160,33,18925,9732
12099,1324085,1009367,229313,2436,31527,636,28128,22678
12101,465276,416723,20425,1626,10165,374,5868,10095
12103,917389,765829,94304,2293,27673,786,8309,18195
12105,604562,475978,89051,1943,10100,269,15587,11634
12107,74224,57520,12212,254,487,58,2436,1257
12109,191495,171489,10158,380,3754,336,1447,3931
12111,278246,203117,52361,1328,4368,94,8645,8333
12113,153086,134013,7958,1114,3265,157,1129,5450
12115,380479,347224,17619,848,5125,118,3939,5606
12117,423389,341546,46044,1016,16382,308,6885,11208
12119,94240,82441,9198,270,718,54,811,748
12121,42287,35519,4902,84,160,0,465,1157
12123,22561,17081,4821,144,152,39,64,260
12125,15400,11435,3197,72,144,3,226,323
12127,495581,407410,51487,1665,8006,244,17859,8910
12129,30449,25186,4246,165,183,0,152,517
12131,55349,48450,3037,447,529,124,1513,1249
12133,24732,19760,3565,175,104,0,141,987
13001,18279,13655,3563,25,138,12,833,53
13003,8355,5499,1418,2,0,0,1241,195
13005,11124,8608,1810,0,69,8,603,26
13007,3483,1497,1981,0,0,0,0,5
13009,46378,25696,19335,61,721,0,262,303
13011,18250,17046,507,14,198,0,348,137
13013,69136,55517,8396,128,2245,0,1451,1399
13015,99872,82548,10000,467,727,63,4593,1474
13017,17612,10546,6253,0,7,0,289,517
13019,19131,16048,2126,12,38,0,470,437
13021,155560,68053,80153,341,2522,93,1587,2811
13023,13009,8957,3666,11,267,0,84,24
13025,18279,17389,750,25,72,0,0,43
13027,16066,9550,5730,6,58,0,564,158
13029,30616,24518,4247,71,491,0,278,1011
13031,70360,47002,19530,206,1050,0,1450,1122
13033,23242,11129,11588,16,30,0,233,246
13035,23671,16604,6773,0,54,0,113,127
13037,6581,2254,3937,33,40,0,267,50
13039,50435,37892,9831,236,724,161,213,1378
